timestamp,total_mb,used_mb,free_mb,available_mb,buff_cache_mb,used_pct
2026-01-27_14:52:02.571,515635,25511,222131,484984,267992,4.94
2026-01-27_14:52:03.624,515635,25885,221747,484600,268002,5.02
2026-01-27_14:52:04.671,515635,25917,221706,484559,268012,5.02
2026-01-27_14:52:05.717,515635,26309,221307,484161,268018,5.10
2026-01-27_14:52:06.764,515635,26408,221191,484044,268036,5.12
2026-01-27_14:52:07.814,515635,26444,221148,484001,268042,5.12
2026-01-27_14:52:08.865,515635,26512,221065,483918,268057,5.14
2026-01-27_14:52:09.916,515635,26500,221053,483906,268081,5.13
2026-01-27_14:52:10.963,515635,26654,220884,483738,268096,5.16
2026-01-27_14:52:12.013,515635,26727,220807,483657,268100,5.18
2026-01-27_14:52:13.061,515635,26751,220780,483633,268103,5.18
2026-01-27_14:52:14.110,515635,26766,220769,483618,268100,5.19
2026-01-27_14:52:15.156,515635,26751,220783,483634,268100,5.18
2026-01-27_14:52:16.205,515635,26707,220824,483677,268103,5.17
2026-01-27_14:52:17.255,515635,26752,220787,483637,268095,5.18
2026-01-27_14:52:18.306,515635,26735,220853,483704,268046,5.18
2026-01-27_14:52:19.350,515635,26715,220850,483704,268069,5.18
2026-01-27_14:52:20.396,515635,26744,220804,483658,268086,5.18
2026-01-27_14:52:21.441,515635,26775,220756,483609,268103,5.19
2026-01-27_14:52:22.488,515635,26760,220771,483625,268103,5.18
2026-01-27_14:52:23.537,515635,26761,220770,483624,268103,5.18
2026-01-27_14:52:24.587,515635,26704,220827,483680,268103,5.17
2026-01-27_14:52:25.639,515635,26711,220820,483673,268103,5.18
2026-01-27_14:52:26.690,515635,26711,220820,483673,268103,5.18
2026-01-27_14:52:27.737,515635,26682,220849,483702,268103,5.17
2026-01-27_14:52:28.785,515635,26651,220926,483779,268057,5.16
2026-01-27_14:52:29.835,515635,26668,220888,483741,268078,5.17
2026-01-27_14:52:30.884,515635,26633,220905,483758,268096,5.16
2026-01-27_14:52:31.934,515635,26613,220918,483772,268103,5.16
2026-01-27_14:52:32.985,515635,26628,220903,483756,268103,5.16
2026-01-27_14:52:34.036,515635,26632,220899,483752,268103,5.16
2026-01-27_14:52:35.088,515635,26665,220866,483719,268103,5.17
2026-01-27_14:52:36.140,515635,26634,220897,483750,268103,5.16
2026-01-27_14:52:37.190,515635,26624,220910,483764,268099,5.16
2026-01-27_14:52:38.238,515635,26610,220972,483825,268052,5.16
2026-01-27_14:52:39.284,515635,26591,220975,483828,268068,5.15
2026-01-27_14:52:40.332,515635,26582,220967,483819,268085,5.15
2026-01-27_14:52:41.377,515635,26555,220976,483829,268103,5.14
2026-01-27_14:52:42.427,515635,26594,220937,483790,268103,5.15
2026-01-27_14:52:43.473,515635,26573,220958,483812,268103,5.15
2026-01-27_14:52:44.523,515635,26570,220961,483814,268103,5.15
2026-01-27_14:52:45.575,515635,26564,220967,483821,268103,5.15
2026-01-27_14:52:46.623,515635,26581,220950,483803,268103,5.15
2026-01-27_14:52:47.676,515635,26554,220977,483831,268103,5.14
2026-01-27_14:52:48.722,515635,26523,221054,483907,268057,5.14
2026-01-27_14:52:49.772,515635,26505,221050,483904,268079,5.14
2026-01-27_14:52:50.819,515635,26493,221045,483899,268096,5.13
2026-01-27_14:52:51.868,515635,26491,221040,483894,268103,5.13
