timestamp,gpu_index,gpu_util_pct,mem_util_pct,mem_used_mb,mem_total_mb,power_w,temp_c,sm_clock_mhz,mem_clock_mhz
2026-01-27_14:48:07.928,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:48:08.995,0, 92, 0, 2932, 95830, 111.63, 57, 1500, 2619
2026-01-27_14:48:08.995,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:48:10.064,0, 93, 0, 2932, 95830, 111.61, 57, 1500, 2619
2026-01-27_14:48:10.064,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:48:11.135,0, 93, 0, 2932, 95830, 111.78, 57, 1500, 2619
2026-01-27_14:48:11.135,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:48:12.202,0, 92, 0, 2932, 95830, 111.50, 57, 1500, 2619
2026-01-27_14:48:12.202,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:48:13.267,0, 63, 0, 2922, 95830, 95.17, 56, 1500, 2619
2026-01-27_14:48:13.267,1, 0, 0, 88, 95830, 87.48, 45, 1500, 2619
2026-01-27_14:48:14.336,0, 89, 0, 2932, 95830, 93.80, 57, 1500, 2619
2026-01-27_14:48:14.336,1, 0, 0, 88, 95830, 87.68, 45, 1500, 2619
2026-01-27_14:48:15.402,0, 93, 0, 2932, 95830, 112.18, 57, 1500, 2619
2026-01-27_14:48:15.402,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:48:16.469,0, 94, 0, 2932, 95830, 111.63, 57, 1500, 2619
2026-01-27_14:48:16.469,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:48:17.539,0, 94, 0, 2932, 95830, 111.98, 57, 1500, 2619
2026-01-27_14:48:17.539,1, 0, 0, 88, 95830, 87.35, 45, 1500, 2619
2026-01-27_14:48:18.606,0, 94, 0, 2932, 95830, 111.75, 57, 1500, 2619
2026-01-27_14:48:18.606,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:48:19.674,0, 94, 0, 2888, 95830, 111.33, 57, 1500, 2619
2026-01-27_14:48:19.674,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:48:20.745,0, 20, 0, 2926, 95830, 91.70, 56, 1500, 2619
2026-01-27_14:48:20.745,1, 0, 0, 88, 95830, 87.47, 45, 1500, 2619
2026-01-27_14:48:21.812,0, 92, 0, 2932, 95830, 100.43, 57, 1500, 2619
2026-01-27_14:48:21.812,1, 0, 0, 88, 95830, 87.44, 45, 1500, 2619
2026-01-27_14:48:22.881,0, 92, 0, 2932, 95830, 112.13, 57, 1500, 2619
2026-01-27_14:48:22.881,1, 0, 0, 88, 95830, 87.38, 45, 1500, 2619
2026-01-27_14:48:23.948,0, 92, 0, 2932, 95830, 111.35, 57, 1500, 2619
2026-01-27_14:48:23.948,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:48:25.015,0, 90, 0, 2932, 95830, 111.46, 57, 1500, 2619
2026-01-27_14:48:25.015,1, 0, 0, 88, 95830, 87.34, 45, 1500, 2619
2026-01-27_14:48:26.082,0, 93, 0, 2932, 95830, 111.86, 57, 1500, 2619
2026-01-27_14:48:26.082,1, 0, 0, 88, 95830, 87.36, 45, 1500, 2619
2026-01-27_14:48:27.153,0, 0, 0, 2928, 95830, 105.12, 57, 1500, 2619
2026-01-27_14:48:27.153,1, 0, 0, 88, 95830, 87.41, 45, 1500, 2619
